case_id,case_type,num_parties,priority,judge_id,judge_idx,courtroom_id,hearing_date,hearing_duration_mins
CASE00001,Criminal,4,Low,J006,5,CR02,2024-10-09,167
CASE00002,Criminal,4,High,J002,1,CR04,2024-05-23,274
CASE00003,Constitutional,9,Medium,J002,1,CR02,2025-08-28,201
CASE00004,Commercial,3,Low,J004,3,CR01,2024-02-01,127
CASE00005,Civil,5,High,J001,0,CR04,2024-08-27,119
CASE00006,Criminal,5,High,J006,5,CR01,2025-07-29,158
CASE00007,Criminal,7,Medium,J002,1,CR07,2024-08-14,176
CASE00008,Family,2,High,J007,6,CR05,2024-01-08,45
CASE00009,Commercial,3,Medium,J001,0,CR07,2024-08-09,106
CASE00010,Civil,4,Medium,J004,3,CR02,2024-04-05,130
CASE00011,Commercial,9,Medium,J004,3,CR02,2025-01-03,202
CASE00012,Criminal,3,Medium,J005,4,CR05,2024-02-15,85
CASE00013,Family,3,High,J008,7,CR08,2025-07-04,95
CASE00014,Land,4,High,J001,0,CR07,2024-03-22,171
CASE00015,Family,2,Low,J008,7,CR05,2025-10-06,34
CASE00016,Constitutional,10,Medium,J006,5,CR04,2025-12-23,185
CASE00017,Criminal,2,High,J002,1,CR01,2024-08-22,209
CASE00018,Commercial,6,Low,J004,3,CR02,2024-08-27,171
CASE00019,Land,5,Medium,J001,0,CR07,2025-04-10,132
CASE00020,Criminal,7,High,J006,5,CR06,2025-01-15,269
CASE00021,Criminal,7,Medium,J005,4,CR04,2025-11-18,167
CASE00022,Civil,2,Medium,J004,3,CR02,2025-09-16,125
CASE00023,Commercial,7,Medium,J007,6,CR03,2025-07-01,324
CASE00024,Criminal,6,High,J006,5,CR04,2024-06-17,127
CASE00025,Civil,2,Low,J006,5,CR07,2024-10-04,87
CASE00026,Land,2,Medium,J008,7,CR04,2025-12-03,40
CASE00027,Family,2,Medium,J007,6,CR01,2024-08-23,69
CASE00028,Civil,2,Low,J001,0,CR06,2024-10-02,73
CASE00029,Criminal,5,High,J002,1,CR04,2025-08-04,151
CASE00030,Land,3,Medium,J008,7,CR06,2024-08-06,131
CASE00031,Civil,3,Medium,J006,5,CR07,2025-10-21,89
CASE00032,Criminal,2,Low,J005,4,CR03,2024-05-23,116
CASE00033,Criminal,4,High,J002,1,CR05,2025-08-22,87
CASE00034,Civil,4,Medium,J006,5,CR07,2025-01-06,87
CASE00035,Civil,5,Medium,J003,2,CR03,2025-06-06,72
CASE00036,Labour,3,Low,J005,4,CR02,2024-02-19,115
CASE00037,Commercial,6,Medium,J001,0,CR03,2024-06-13,148
CASE00038,Civil,2,Medium,J006,5,CR02,2025-01-30,168
CASE00039,Family,2,Medium,J007,6,CR08,2025-06-26,83
CASE00040,Civil,4,Medium,J004,3,CR01,2025-11-28,100
CASE00041,Criminal,7,Medium,J006,5,CR02,2025-07-04,261
CASE00042,Family,3,Medium,J007,6,CR06,2024-04-25,41
CASE00043,Commercial,4,High,J004,3,CR07,2024-06-11,252
CASE00044,Civil,4,Medium,J006,5,CR01,2024-09-27,128
CASE00045,Criminal,2,High,J006,5,CR03,2025-06-04,114
CASE00046,Land,5,High,J001,0,CR05,2025-10-17,205
CASE00047,Commercial,8,Medium,J007,6,CR04,2024-06-06,134
CASE00048,Commercial,2,Low,J004,3,CR03,2025-07-07,139
CASE00049,Family,2,Medium,J008,7,CR01,2024-11-28,81
CASE00050,Criminal,4,Medium,J005,4,CR01,2024-04-25,204
CASE00051,Constitutional,2,Medium,J006,5,CR05,2024-09-03,152
CASE00052,Civil,5,Low,J001,0,CR04,2025-08-04,100
CASE00053,Family,2,Medium,J003,2,CR02,2025-05-13,79
CASE00054,Commercial,2,Medium,J001,0,CR03,2025-11-07,75
CASE00055,Civil,3,High,J006,5,CR03,2025-06-25,153
CASE00056,Family,2,Low,J008,7,CR07,2024-08-05,49
CASE00057,Criminal,4,Medium,J006,5,CR04,2025-02-13,79
CASE00058,Civil,2,Low,J004,3,CR08,2025-04-08,64
CASE00059,Criminal,4,Low,J002,1,CR04,2024-08-19,143
CASE00060,Family,2,Medium,J003,2,CR06,2024-01-23,111
CASE00061,Civil,5,Medium,J008,7,CR04,2025-08-26,104
CASE00062,Civil,2,Low,J003,2,CR01,2024-03-14,81
CASE00063,Civil,5,Low,J001,0,CR04,2024-03-11,107
CASE00064,Labour,4,Low,J003,2,CR06,2024-03-14,79
CASE00065,Criminal,2,High,J006,5,CR04,2025-11-17,113
CASE00066,Family,3,Low,J007,6,CR04,2025-07-07,57
CASE00067,Land,3,High,J001,0,CR08,2024-09-06,132
CASE00068,Constitutional,2,Medium,J006,5,CR07,2024-04-10,119
CASE00069,Civil,4,Medium,J006,5,CR06,2025-03-10,129
CASE00070,Constitutional,11,Low,J006,5,CR08,2024-02-26,180
CASE00071,Civil,5,Medium,J001,0,CR01,2025-02-17,147
CASE00072,Commercial,8,Low,J007,6,CR06,2024-04-22,185
CASE00073,Civil,5,Medium,J003,2,CR04,2025-07-04,87
CASE00074,Criminal,6,Medium,J005,4,CR03,2024-09-13,173
CASE00075,Constitutional,2,Low,J002,1,CR08,2025-07-18,123
